sample_name,type,flowcell,lane,file,ega_id
SJCBF016,D,C0DG1ACXX,5,SJCBF016_D-C0DG1ACXX.5.bam.cip,EGAF00000879120
SJCBF016,D,C0DG1ACXX,6,SJCBF016_D-C0DG1ACXX.6.bam.cip,EGAF00000879121
SJCBF016,G,C0DG1ACXX,5,SJCBF016_G-C0DG1ACXX.5.bam.cip,EGAF00000879122
SJCBF016,G,C0DG1ACXX,6,SJCBF016_G-C0DG1ACXX.6.bam.cip,EGAF00000879123
SJCBF017,D,D0ML7ACXX,2,SJCBF017_D-D0ML7ACXX.2.bam.cip,EGAF00000879124
SJCBF017,D,D0ML7ACXX,3,SJCBF017_D-D0ML7ACXX.3.bam.cip,EGAF00000879125
SJCBF017,G,D0ML7ACXX,2,SJCBF017_G-D0ML7ACXX.2.bam.cip,EGAF00000879126
SJCBF017,G,D0ML7ACXX,3,SJCBF017_G-D0ML7ACXX.3.bam.cip,EGAF00000879127
SJCBF027,D,D0ML7ACXX,2,SJCBF027_D-D0ML7ACXX.2.bam.cip,EGAF00000879128
SJCBF027,D,D0ML7ACXX,3,SJCBF027_D-D0ML7ACXX.3.bam.cip,EGAF00000879129
SJCBF027,G,D0ML7ACXX,2,SJCBF027_G-D0ML7ACXX.2.bam.cip,EGAF00000879130
SJCBF027,G,D0ML7ACXX,3,SJCBF027_G-D0ML7ACXX.3.bam.cip,EGAF00000879131
SJCBF028,D,D0ML7ACXX,2,SJCBF028_D-D0ML7ACXX.2.bam.cip,EGAF00000879132
SJCBF028,D,D0ML7ACXX,3,SJCBF028_D-D0ML7ACXX.3.bam.cip,EGAF00000879133
SJCBF028,G,D0ML7ACXX,2,SJCBF028_G-D0ML7ACXX.2.bam.cip,EGAF00000879134
SJCBF028,G,D0ML7ACXX,3,SJCBF028_G-D0ML7ACXX.3.bam.cip,EGAF00000879135
SJCBF029,D,D0ML7ACXX,5,SJCBF029_D-D0ML7ACXX.5.bam.cip,EGAF00000879136
SJCBF029,D,D0ML7ACXX,6,SJCBF029_D-D0ML7ACXX.6.bam.cip,EGAF00000879137
SJCBF029,G,D0ML7ACXX,5,SJCBF029_G-D0ML7ACXX.5.bam.cip,EGAF00000879138
SJCBF029,G,D0ML7ACXX,6,SJCBF029_G-D0ML7ACXX.6.bam.cip,EGAF00000879139
SJCBF030,D,D0ML7ACXX,5,SJCBF030_D-D0ML7ACXX.5.bam.cip,EGAF00000879140
SJCBF030,D,D0ML7ACXX,6,SJCBF030_D-D0ML7ACXX.6.bam.cip,EGAF00000879141
SJCBF030,G,D0ML7ACXX,5,SJCBF030_G-D0ML7ACXX.5.bam.cip,EGAF00000879142
SJCBF030,G,D0ML7ACXX,6,SJCBF030_G-D0ML7ACXX.6.bam.cip,EGAF00000879143
SJCBF031,D,D0ML7ACXX,7,SJCBF031_D-D0ML7ACXX.7.bam.cip,EGAF00000879144
SJCBF031,D,D0ML7ACXX,8,SJCBF031_D-D0ML7ACXX.8.bam.cip,EGAF00000879145
SJCBF031,G,D0ML7ACXX,7,SJCBF031_G-D0ML7ACXX.7.bam.cip,EGAF00000879146
SJCBF031,G,D0ML7ACXX,8,SJCBF031_G-D0ML7ACXX.8.bam.cip,EGAF00000879147
SJCBF032,D,D0ML7ACXX,7,SJCBF032_D-D0ML7ACXX.7.bam.cip,EGAF00000879148
SJCBF032,D,D0ML7ACXX,8,SJCBF032_D-D0ML7ACXX.8.bam.cip,EGAF00000879149
SJCBF032,G,D0ML7ACXX,7,SJCBF032_G-D0ML7ACXX.7.bam.cip,EGAF00000879150
SJCBF032,G,D0ML7ACXX,8,SJCBF032_G-D0ML7ACXX.8.bam.cip,EGAF00000879151
SJCBF033,D,D0ML7ACXX,7,SJCBF033_D-D0ML7ACXX.7.bam.cip,EGAF00000879152
SJCBF033,D,D0ML7ACXX,8,SJCBF033_D-D0ML7ACXX.8.bam.cip,EGAF00000879153
SJCBF033,G,D0ML7ACXX,7,SJCBF033_G-D0ML7ACXX.7.bam.cip,EGAF00000879154
SJCBF033,G,D0ML7ACXX,8,SJCBF033_G-D0ML7ACXX.8.bam.cip,EGAF00000879155
SJCBF034,D,C0697ACXX,1,SJCBF034_D-C0697ACXX.1.bam.cip,EGAF00000879156
SJCBF034,D,C0697ACXX,2,SJCBF034_D-C0697ACXX.2.bam.cip,EGAF00000879157
SJCBF034,G,C0697ACXX,1,SJCBF034_G-C0697ACXX.1.bam.cip,EGAF00000879158
SJCBF034,G,C0697ACXX,2,SJCBF034_G-C0697ACXX.2.bam.cip,EGAF00000879159
SJCBF035,D,C0697ACXX,1,SJCBF035_D-C0697ACXX.1.bam.cip,EGAF00000879160
SJCBF035,D,C0697ACXX,2,SJCBF035_D-C0697ACXX.2.bam.cip,EGAF00000879161
SJCBF035,G,C0697ACXX,1,SJCBF035_G-C0697ACXX.1.bam.cip,EGAF00000879162
SJCBF035,G,C0697ACXX,2,SJCBF035_G-C0697ACXX.2.bam.cip,EGAF00000879163
SJCBF036,D,C0697ACXX,1,SJCBF036_D-C0697ACXX.1.bam.cip,EGAF00000879164
SJCBF036,D,C0697ACXX,2,SJCBF036_D-C0697ACXX.2.bam.cip,EGAF00000879165
SJCBF036,G,C0697ACXX,1,SJCBF036_G-C0697ACXX.1.bam.cip,EGAF00000879166
SJCBF036,G,C0697ACXX,2,SJCBF036_G-C0697ACXX.2.bam.cip,EGAF00000879167
SJCBF037,D,C0697ACXX,3,SJCBF037_D-C0697ACXX.3.bam.cip,EGAF00000879168
SJCBF037,D,C0697ACXX,5,SJCBF037_D-C0697ACXX.5.bam.cip,EGAF00000879169
SJCBF037,G,C0697ACXX,3,SJCBF037_G-C0697ACXX.3.bam.cip,EGAF00000879170
SJCBF037,G,C0697ACXX,5,SJCBF037_G-C0697ACXX.5.bam.cip,EGAF00000879171
SJCBF038,D,C0697ACXX,3,SJCBF038_D-C0697ACXX.3.bam.cip,EGAF00000879172
SJCBF038,D,C0697ACXX,5,SJCBF038_D-C0697ACXX.5.bam.cip,EGAF00000879173
SJCBF038,G,C0697ACXX,3,SJCBF038_G-C0697ACXX.3.bam.cip,EGAF00000879174
SJCBF038,G,C0697ACXX,5,SJCBF038_G-C0697ACXX.5.bam.cip,EGAF00000879175
SJCBF039,D,C0697ACXX,3,SJCBF039_D-C0697ACXX.3.bam.cip,EGAF00000879176
SJCBF039,D,C0697ACXX,5,SJCBF039_D-C0697ACXX.5.bam.cip,EGAF00000879177
SJCBF039,G,C0697ACXX,3,SJCBF039_G-C0697ACXX.3.bam.cip,EGAF00000879178
SJCBF039,G,C0697ACXX,5,SJCBF039_G-C0697ACXX.5.bam.cip,EGAF00000879179
SJCBF040,D,C0697ACXX,6,SJCBF040_D-C0697ACXX.6.bam.cip,EGAF00000879180
SJCBF040,D,C0697ACXX,7,SJCBF040_D-C0697ACXX.7.bam.cip,EGAF00000879181
SJCBF040,G,C0697ACXX,6,SJCBF040_G-C0697ACXX.6.bam.cip,EGAF00000879182
SJCBF040,G,C0697ACXX,7,SJCBF040_G-C0697ACXX.7.bam.cip,EGAF00000879183
SJCBF041,D,C0697ACXX,6,SJCBF041_D-C0697ACXX.6.bam.cip,EGAF00000879184
SJCBF041,D,C0697ACXX,7,SJCBF041_D-C0697ACXX.7.bam.cip,EGAF00000879185
SJCBF041,G,C0697ACXX,6,SJCBF041_G-C0697ACXX.6.bam.cip,EGAF00000879186
SJCBF041,G,C0697ACXX,7,SJCBF041_G-C0697ACXX.7.bam.cip,EGAF00000879187
SJCBF042,D,C0697ACXX,6,SJCBF042_D-C0697ACXX.6.bam.cip,EGAF00000879188
SJCBF042,D,C0697ACXX,7,SJCBF042_D-C0697ACXX.7.bam.cip,EGAF00000879189
SJCBF042,G,C0697ACXX,6,SJCBF042_G-C0697ACXX.6.bam.cip,EGAF00000879190
SJCBF042,G,C0697ACXX,7,SJCBF042_G-C0697ACXX.7.bam.cip,EGAF00000879191
SJCBF043,D,C0697ACXX,8,SJCBF043_D-C0697ACXX.8.bam.cip,EGAF00000879192
